Current Attendence Sheet Data of FDN12513  |  All Type


-,2019-07-29-13:00:00-Lect-1H-ng,2019-07-31-13:00:00-Lect-2H-ng,2019-08-05-13:00:00-Lect-1H-ng,2019-08-07-13:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-1H-ng,2019-08-21-13:00:00-Lect-2H-ng,2019-12-09-12:00:00-Lect-1H-ng,2019-12-16-12:00:00-Lect-1H-ng,2019-12-18-13:00:00-Lect-2H-ng,2019-12-23-13:00:00-Lect-1H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-2H-ng,2020-01-13-13:00:00-Lect-1H-ng,2020-01-20-13:00:00-Lect-1H-ng,2020-01-22-13:00:00-Lect-2H-ng,2020-01-27-13:00:00-Lect-1H-ng,2020-01-29-13:00:00-Lect-2H-ng,2020-02-03-13:00:00-Lect-1H-ng,2020-02-05-13:00:00-Lect-2H-ng,2020-02-10-13:00:00-Lect-1H-ng,2020-02-12-13:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-1H-ng,2020-02-19-13:00:00-Lect-2H-ng,%
HS/2018/16790,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,83 %,
HS/2018/16791,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16792,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,69 %,
HS/2018/16793,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,94 %,
HS/2018/16794,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,86 %,
HS/2018/16795,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,91 %,
HS/2018/16796,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,83 %,
HS/2018/16798,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,49 %,
HS/2018/16799,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,71 %,
HS/2018/16800,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16801,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,89 %,
HS/2018/16802,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,M,71 %,
HS/2018/16803,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,86 %,
HS/2018/16804,M,1,M,M,1,1,M,M,1,1,1,M,M,M,M,M,1,1,M,0,1,1,1,1,94 %,
