Current Attendence Sheet Data of FDN11513  |  All Type


-,2019-02-25-11:00:00-Lect-1H-ng,2019-02-28-08:00:00-Lect-2H-ng,2019-03-07-08:00:00-Lect-2H-ng,2019-03-11-11:00:00-Lect-1H-ng,2019-03-14-08:00:00-Lect-2H-ng,2019-03-18-11:00:00-Lect-1H-ng,2019-03-21-08:00:00-Lect-2H-ng,2019-03-25-11:00:00-Lect-1H-ng,2019-03-28-08:00:00-Lect-2H-ng,2019-04-01-11:00:00-Lect-1H-ng,2019-04-04-08:00:00-Lect-2H-ng,2019-04-08-11:00:00-Lect-1H-ng,2019-04-11-08:00:00-Lect-2H-ng,2019-05-16-08:00:00-Lect-2H-ng,2019-05-23-08:00:00-Lect-2H-ng,2019-05-27-11:00:00-Lect-1H-ng,2019-05-30-08:00:00-Lect-2H-ng,2019-06-03-11:00:00-Lect-1H-ng,2019-06-06-08:00:00-Lect-2H-ng,2019-06-10-11:00:00-Lect-1H-ng,2019-06-13-08:00:00-Lect-2H-ng,2019-06-17-11:00:00-Lect-1H-ng,2019-06-20-08:00:00-Lect-2H-ng,2019-06-24-11:00:00-Lect-1H-ng,2019-06-27-08:00:00-Lect-2H-ng,2019-07-01-11:00:00-Lect-1H-ng,%
HS/2018/16769,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,55 %,
HS/2018/16770,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,53 %,
HS/2018/16771,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18 %,
HS/2018/16772,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,30 %,
HS/2018/16773,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,60 %,
HS/2018/16774,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,48 %,
HS/2018/16775,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,50 %,
HS/2018/16776,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,45 %,
HS/2018/16777,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,48 %,
HS/2018/16778,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,35 %,
HS/2018/16779,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,45 %,
HS/2018/16780,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,60 %,
HS/2018/16781,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,58 %,
HS/2018/16782,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,63 %,
