Current Attendence Sheet Data of SOC12513  |  All Type


-,2019-08-01-13:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-08-13:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-1H-ng,2019-12-10-10:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-2H-ng,2019-12-19-13:00:00-Lect-1H-ng,2019-12-24-10:00:00-Lect-2H-ng,2019-12-31-10:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-1H-ng,2020-01-08-10:00:00-Lect-2H-ng,2020-01-14-10:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-1H-ng,2020-01-21-10:00:00-Lect-2H-ng,2020-01-28-10:00:00-Lect-2H-ng,2020-01-30-13:00:00-Lect-1H-ng,2020-02-06-10:00:00-Lect-2H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-18-10:00:00-Lect-2H-ng,%
HS/2018/16860,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16861,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,82 %,
HS/2018/16862,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16863,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16864,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16865,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16867,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16868,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16869,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16873,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16874,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16875,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16876,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2018/16878,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2018/16879,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2018/16880,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,82 %,
HS/2018/16881,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,82 %,
HS/2018/16882,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,85 %,
HS/2018/16883,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,85 %,
HS/2018/16884,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
